objectId,houseNo,name,latitude,longitude,image,largeImage,managerId,imageTag,commId,commName,discount,address,age,houselandtype,houselandtypeShow,priceFirst,totalPrice,areaBuilding,areaLand,isHasBalcony,pingUsed,layout,floor,totalfloor,isParking,parking,tags,threeMonthsClicks,isOff,isSimilar,shareURL,status,kind,uniPrice,objectType,3DVR,Is3Dvr,zipCode,groupCompany,addLayout,totalLayout,isHasVideo,isHasView,city_name,city_code,page,source_url
,0259QS,行情！臨路美墅,23.894462,120.686137,['https://res.sinyi.com.tw/buy/0259QS/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/0259QS/bigimg/A.JPG,,[2],,,-16.6,南投縣南投市嘉和一路,1.7年,"['D', 'E']","['N', 'E']",1880,1568,52.7,22.69,1,52.7,4房3廳4衛,1-4,4,False,,"['3', '4', '2', '18', '19', '14', '100', '107']",184,False,False,https://sinyi.in/o/0259QS/0/3,2,1,,1,True,True,540,1.0,,4房3廳4衛,False,False,南投縣,Nantou-county,1,https://www.sinyi.com.tw/buy/list/Nantou-county/default-desc/1
,45616K,誠售！國姓土地０．９５甲,24.0380572068,120.8592929985,['https://res.sinyi.com.tw/buy/45616K/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/45616K/bigimg/A.JPG,,,,,-86.28,南投縣國姓鄉國姓路,--,['I'],['I'],2660,365,0.0,2807.2,0,-1.0,,,,False,,"['18', '19', '100']",45,False,False,https://sinyi.in/o/45616K/0/3,2,1,,3,False,False,544,1.0,,,False,False,南投縣,Nantou-county,1,https://www.sinyi.com.tw/buy/list/Nantou-county/default-desc/1
,8762HL,南投清境地２１８１坪民宿,24.062595,121.168311,['https://res.sinyi.com.tw/buy/8762HL/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/8762HL/bigimg/A.JPG,,,,,0.0,南投縣仁愛鄉仁和路,25.6年,"['K', 'I']","['K', 'I']",17000,17000,236.22,2181.93,0,236.22,19房1廳19衛,1-3,3,False,,"['7', '13', '100']",1,False,False,https://sinyi.in/o/8762HL/0/3,2,1,,1,False,False,546,3.0,,19房1廳19衛,False,False,南投縣,Nantou-county,1,https://www.sinyi.com.tw/buy/list/Nantou-county/default-desc/1
,7795YP,埔里農栽場,23.987017,120.99954,['https://res.sinyi.com.tw/buy/7795YP/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/7795YP/bigimg/A.JPG,,[2],,,-26.04,南投縣埔里鎮內埔路,2.9年,['K'],['K'],2688,1988,1252.68,1685.23,0,1252.68,1廳,1-1,1,False,,"['15', '14', '100']",51,False,False,https://sinyi.in/o/7795YP/0/3,2,1,,1,False,False,545,1.0,,1廳,False,False,南投縣,Nantou-county,1,https://www.sinyi.com.tw/buy/list/Nantou-county/default-desc/1
,9822QY,草屯富人區別墅,23.97144,120.685289,['https://res.sinyi.com.tw/buy/9822QY/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/9822QY/bigimg/A.JPG,,,,,-8.28,南投縣草屯鎮新富一街,3.7年,['D'],['D'],3380,3100,102.83,40.23,1,102.83,4房4廳6衛,1-5,5,False,,"['1', '4', '5', '2', '16', '18', '19', '100', '107']",355,False,False,https://sinyi.in/o/9822QY/0/3,2,1,,1,True,True,542,1.0,,4房4廳6衛,False,False,南投縣,Nantou-county,1,https://www.sinyi.com.tw/buy/list/Nantou-county/default-desc/1
,0313TJ,南投九九峰視野庭院大別墅,23.980619,120.791166,['https://res.sinyi.com.tw/buy/0313TJ/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/0313TJ/bigimg/A.JPG,,,,,-6.29,南投縣草屯鎮中正路,1.6年,['D'],['D'],2860,2680,106.57,87.87,1,106.58,5房2廳6衛,1-4,4,True,"['9', '9', '9', '9']","['6', '3', '4', '5', '2', '12', '100']",165,False,False,https://sinyi.in/o/0313TJ/0/3,2,1,,1,True,True,542,1.0,,5房2廳6衛,False,False,南投縣,Nantou-county,1,https://www.sinyi.com.tw/buy/list/Nantou-county/default-desc/1
,2714JD,埔里大地坪休憩空間,23.980181,120.946955,['https://res.sinyi.com.tw/buy/2714JD/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/2714JD/bigimg/A.JPG,,,,,-13.07,南投縣埔里鎮房里路,34.0年,['D'],['D'],3980,3460,71.24,604.63,0,71.24,5房2廳3衛,1-2,2,False,,"['7', '6', '5', '2', '100']",125,False,False,https://sinyi.in/o/2714JD/0/3,2,1,,1,True,True,545,1.0,3房5衛1室,8房2廳8衛1室,False,False,南投縣,Nantou-county,1,https://www.sinyi.com.tw/buy/list/Nantou-county/default-desc/1
,5752LF,成功大院●頤居安然環境１,24.037987,120.853734,['https://res.sinyi.com.tw/buy/5752LF/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/5752LF/bigimg/A.JPG,,,,,-6.3,南投縣國姓鄉中興路,2.2年,['D'],['N'],1588,1488,57.86,73.59,1,57.86,4房2廳5衛,1-3,3,False,,"['6', '3', '4', '5', '2', '19', '100']",47,False,False,https://sinyi.in/o/5752LF/0/3,2,1,,1,True,True,544,1.0,,4房2廳5衛,False,False,南投縣,Nantou-county,1,https://www.sinyi.com.tw/buy/list/Nantou-county/default-desc/1
,02259H,南投中寮土地Ｃ開心農場,23.869729007783,120.7952675441,['https://res.sinyi.com.tw/buy/02259H/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/02259H/bigimg/A.JPG,,,,,-34.55,南投縣中寮鄉仙鹿巷,--,['I'],['I'],550,360,0.0,756.25,0,-1.0,,,,False,,['100'],27,False,False,https://sinyi.in/o/02259H/0/3,2,1,,3,False,False,541,1.0,,,False,False,南投縣,Nantou-county,1,https://www.sinyi.com.tw/buy/list/Nantou-county/default-desc/1
,0612NZ,成功大院●雲嶺松居雅境３,24.038083,120.853623,['https://res.sinyi.com.tw/buy/0612NZ/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/0612NZ/bigimg/A.JPG,,,,,-3.6,南投縣國姓鄉中興路,2.2年,['D'],['N'],1388,1338,56.1,42.43,1,56.1,4房2廳5衛,1-3,3,False,,"['6', '3', '4', '5', '2', '19', '100']",31,False,False,https://sinyi.in/o/0612NZ/0/3,2,1,,1,True,True,544,1.0,,4房2廳5衛,False,False,南投縣,Nantou-county,1,https://www.sinyi.com.tw/buy/list/Nantou-county/default-desc/1
