objectId,houseNo,name,latitude,longitude,image,largeImage,managerId,imageTag,commId,commName,discount,address,age,houselandtype,houselandtypeShow,priceFirst,totalPrice,areaBuilding,areaLand,isHasBalcony,pingUsed,layout,floor,totalfloor,isParking,parking,tags,threeMonthsClicks,isOff,isSimilar,shareURL,status,kind,uniPrice,objectType,3DVR,Is3Dvr,zipCode,groupCompany,addLayout,totalLayout,isHasVideo,isHasView,city_name,city_code,page,source_url
,5492RR,將捷旅境．－真境,24.988795997592,121.56290178719,['https://res.sinyi.com.tw/buy/5492RR/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/5492RR/bigimg/A.JPG,,"[1, 2]",,,1.71,台北市文山區木柵路二段,預售,['L'],['L'],2976,3027,29.86,-1.0,1,19.53,2房2廳1衛,22,22,False,,"['4', '5', '2', '10', '16', '18', '19', '100', '102', '107', '109']",5119,False,False,https://sinyi.in/o/5492RR/0/3,2,1,,4,True,True,116,2,,2房2廳1衛,False,False,台北市,Taipei-city,1,https://www.sinyi.com.tw/buy/list/Taipei-city/default-desc/1
,45929Z,御心綻－御館,25.06243644689,121.61611123279,['https://res.sinyi.com.tw/buy/45929Z/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/45929Z/bigimg/A.JPG,,"[1, 2]",,,-0.79,台北市南港區經園街,預售,"['K', 'M']","['K', 'M']",3160,3135,24.44,-1.0,1,15.28,2房1廳1衛,5,8,False,,"['4', '5', '2', '10', '15', '17', '100', '107', '108', '111']",2235,False,False,https://sinyi.in/o/45929Z/0/3,2,1,,4,True,True,115,2,,2房1廳1衛,False,False,台北市,Taipei-city,1,https://www.sinyi.com.tw/buy/list/Taipei-city/default-desc/1
,80689A,將捷旅境．－真境,24.988815446619,121.5628159565,['https://res.sinyi.com.tw/buy/80689A/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/80689A/bigimg/A.JPG,,"[1, 2]",,,3.56,台北市文山區木柵路二段,預售,['L'],['L'],3592,3720,36.27,-1.0,1,23.73,3房2廳2衛,13,22,False,,"['100', '102', '107', '108', '109', '110', '111']",1930,False,False,https://sinyi.in/o/80689A/0/3,2,1,,4,True,True,116,2,,3房2廳2衛,False,False,台北市,Taipei-city,1,https://www.sinyi.com.tw/buy/list/Taipei-city/default-desc/1
,2480YW,捷運中山國小邊間陽台美屋,25.064814,121.526673,['https://res.sinyi.com.tw/buy/2480YW/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/2480YW/bigimg/A.JPG,,,,,-12.72,台北市中山區農安街,47.2年,['M'],['M'],2280,1990,24.07,2.5,1,19.65,2房2廳2衛1室,5,10,False,,"['5', '12', '10', '16', '17', '18', '19', '100', '102', '106', '107']",376,False,False,https://sinyi.in/o/2480YW/0/3,2,1,,1,True,True,104,1,,2房2廳2衛1室,False,False,台北市,Taipei-city,1,https://www.sinyi.com.tw/buy/list/Taipei-city/default-desc/1
,9925QS,士林長堤電梯三房車位,25.091214,121.515511,['https://res.sinyi.com.tw/buy/9925QS/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/9925QS/bigimg/A.JPG,,,,,-12.72,台北市士林區承德路五段,47.0年,['M'],['M'],3380,2950,59.41,10.07,1,41.43,3房2廳2衛,3,7,True,['2'],"['7', '6', '3', '4', '5', '2', '12', '16', '17', '18', '19', '13', '100', '102', '106', '107']",103,False,False,https://sinyi.in/o/9925QS/0/3,2,1,,1,True,True,111,1,,3房2廳2衛,False,False,台北市,Taipei-city,1,https://www.sinyi.com.tw/buy/list/Taipei-city/default-desc/1
,8045CK,大直好境㊣鋼骨極品豪宅,25.078211,121.563305,['https://res.sinyi.com.tw/buy/8045CK/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/8045CK/bigimg/A.JPG,,,0001015,首璽一品花園,-8.41,台北市中山區基湖路,24.9年,['M'],['M'],11888,10888,107.29,36.09,1,56.54,4房2廳3衛2室,5,9,True,"['2', '2']","['7', '6', '4', '5', '2', '12', '10', '15', '8', '9', '11', '16', '17', '19', '100', '102', '106']",251,False,False,https://sinyi.in/o/8045CK/0/3,2,1,,1,True,True,104,1,,4房2廳3衛2室,False,False,台北市,Taipei-city,1,https://www.sinyi.com.tw/buy/list/Taipei-city/default-desc/1
,3113FQ,鋼骨三房車位稀有釋出,25.038629,121.497699,['https://res.sinyi.com.tw/buy/3113FQ/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/3113FQ/bigimg/A.JPG,,,0000573,青山郡,-6.84,台北市萬華區桂林路,20.9年,['L'],['L'],3100,2888,51.36,4.67,1,32.97,3房2廳2衛,3,14,True,['4'],"['7', '6', '4', '2', '12', '10', '16', '17', '18', '19', '100', '102', '106', '107']",173,False,False,https://sinyi.in/o/3113FQ/0/3,2,1,,1,True,True,108,1,,3房2廳2衛,False,False,台北市,Taipei-city,1,https://www.sinyi.com.tw/buy/list/Taipei-city/default-desc/1
,7346TB,仁愛鑽石面林蔭邊間四房,25.038114,121.550477,['https://res.sinyi.com.tw/buy/7346TB/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/7346TB/bigimg/A.JPG,,[2],0002517,鑽石大廈,-18.33,台北市大安區仁愛路四段,49.2年,"['L', 'F']","['L', 'F']",7200,5880,48.51,5.92,1,38.51,4房2廳2衛,2,12,False,,"['6', '4', '5', '2', '12', '10', '15', '16', '17', '18', '19', '14', '100', '102', '107']",703,False,False,https://sinyi.in/o/7346TB/0/3,2,1,,1,True,True,106,1,,4房2廳2衛,False,False,台北市,Taipei-city,1,https://www.sinyi.com.tw/buy/list/Taipei-city/default-desc/1
,5229DG,奇岩綠境２房２衛,25.126077,121.508462,['https://res.sinyi.com.tw/buy/5229DG/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/5229DG/bigimg/A.JPG,,[2],0032407,奇岩綠境,-5.04,台北市北投區公館路,0.9年,['L'],['L'],2580,2450,25.84,5.52,1,16.58,2房2廳2衛,3,13,False,,"['6', '4', '2', '12', '10', '15', '8', '11', '16', '18', '19', '20', '14', '100', '102', '106', '107', '109']",2547,False,False,https://sinyi.in/o/5229DG/0/3,2,1,,1,True,True,112,1,,2房2廳2衛,False,False,台北市,Taipei-city,1,https://www.sinyi.com.tw/buy/list/Taipei-city/default-desc/1
,1930KK,【降價專區】圓山巴黎四房,25.087288,121.520927,['https://res.sinyi.com.tw/buy/1930KK/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/1930KK/bigimg/A.JPG,,[2],0001729,圓山巴黎,-9.27,台北市士林區後港街,28.8年,['L'],['L'],6600,5988,87.38,18.77,1,59.33,4房2廳2衛3室,9,12,True,['2'],"['7', '6', '3', '4', '5', '2', '12', '10', '11', '16', '18', '19', '14', '100', '102', '106', '107', '109']",763,False,False,https://sinyi.in/o/1930KK/0/3,2,1,,1,True,True,111,1,,4房2廳2衛3室,False,False,台北市,Taipei-city,1,https://www.sinyi.com.tw/buy/list/Taipei-city/default-desc/1
