objectId,houseNo,name,latitude,longitude,image,largeImage,managerId,imageTag,commId,commName,discount,address,age,houselandtype,houselandtypeShow,priceFirst,totalPrice,areaBuilding,areaLand,isHasBalcony,pingUsed,layout,floor,totalfloor,isParking,parking,tags,threeMonthsClicks,isOff,isSimilar,shareURL,status,kind,uniPrice,objectType,3DVR,Is3Dvr,zipCode,groupCompany,addLayout,totalLayout,isHasVideo,isHasView,city_name,city_code,page,source_url
,2505WJ,️羅運瑪丁尼茲豪邸,24.683744,121.757845,['https://res.sinyi.com.tw/buy/2505WJ/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/2505WJ/bigimg/A.JPG,,,,,0.0,宜蘭縣羅東鎮四維路,10.7年,['M'],['M'],3650,3650,115.68,36.26,1,73.99,4房2廳5衛,1,4,True,"['2', '2']","['7', '6', '3', '4', '5', '2', '12', '11', '100', '102', '111']",180,False,False,https://sinyi.in/o/2505WJ/0/3,2,1,,1,True,True,265,1.0,,4房2廳5衛,False,False,宜蘭縣,Yilan-county,1,https://www.sinyi.com.tw/buy/list/Yilan-county/default-desc/1
,2936QD,羅運瑪丁尼茲雙車位,24.683724,121.757904,['https://res.sinyi.com.tw/buy/2936QD/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/2936QD/bigimg/A.JPG,,,,,0.0,宜蘭縣羅東鎮四維路,10.7年,['M'],['M'],2980,2980,82.29,25.87,1,51.02,3房2廳3衛,1,4,True,"['2', '2']","['7', '6', '3', '4', '5', '2', '12', '11', '100', '102', '111']",241,False,False,https://sinyi.in/o/2936QD/0/3,2,1,,1,True,True,265,1.0,,3房2廳3衛,False,False,宜蘭縣,Yilan-county,1,https://www.sinyi.com.tw/buy/list/Yilan-county/default-desc/1
,4374FJ,礁溪電梯溫泉旅店,24.82729,121.765092,['https://res.sinyi.com.tw/buy/4374FJ/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/4374FJ/bigimg/A.JPG,,,,,-25.0,宜蘭縣礁溪鄉德陽路,43.6年,"['D', 'K']","['N', 'K']",12000,9000,121.37,61.98,0,112.51,15房1廳13衛1室,1-3,3,False,,"['7', '6', '4', '5', '2', '18', '21', '100', '102', '107']",146,False,False,https://sinyi.in/o/4374FJ/0/3,2,1,,1,False,False,262,1.0,18房14衛1室,33房1廳27衛2室,False,False,宜蘭縣,Yilan-county,1,https://www.sinyi.com.tw/buy/list/Yilan-county/default-desc/1
,6769RJ,羅東火車站商圈三角窗店面,24.676849,121.771587,['https://res.sinyi.com.tw/buy/6769RJ/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/6769RJ/bigimg/A.JPG,,[2],,,0.0,宜蘭縣羅東鎮中正路,18.7年,"['E', 'D']","['E', 'N']",13800,13800,186.21,61.11,1,165.82,3廳3衛,1-4,4,False,,"['22', '7', '4', '5', '2', '15', '16', '18', '19', '14', '100', '102', '107']",75,False,False,https://sinyi.in/o/6769RJ/0/3,2,1,,1,True,True,265,1.0,,3廳3衛,False,False,宜蘭縣,Yilan-county,1,https://www.sinyi.com.tw/buy/list/Yilan-county/default-desc/1
,0235RS,嵐峰路靜巷典雅舒適透天,24.743302,121.755447,['https://res.sinyi.com.tw/buy/0235RS/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/0235RS/bigimg/A.JPG,,,,,-3.98,宜蘭縣宜蘭市嵐峰路一段,38.0年,['D'],['N'],1758,1688,44.44,37.58,0,40.03,3房2廳1衛,1-2,2,False,,"['7', '3', '4', '5', '2', '11', '18', '19', '20', '100', '107']",726,False,False,https://sinyi.in/o/0235RS/0/3,2,1,,1,True,True,260,1.0,2房1衛1室,5房2廳2衛1室,False,False,宜蘭縣,Yilan-county,1,https://www.sinyi.com.tw/buy/list/Yilan-county/default-desc/1
,8194PW,宜蘭松柏居馥,24.6751,121.714386,['https://res.sinyi.com.tw/buy/8194PW/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/8194PW/bigimg/A.JPG,,,,,-22.22,宜蘭縣三星鄉農義路二段,21.0年,['K'],['K'],3600,2800,75.09,430.16,1,75.09,6房3廳5衛,1-3,3,False,,"['7', '6', '3', '4', '5', '2', '100']",141,False,False,https://sinyi.in/o/8194PW/0/3,2,1,,1,False,False,266,1.0,,6房3廳5衛,False,False,宜蘭縣,Yilan-county,1,https://www.sinyi.com.tw/buy/list/Yilan-county/default-desc/1
,9699VK,⭐羅運瑪丁尼茲豪宅別墅,24.683959,121.758005,['https://res.sinyi.com.tw/buy/9699VK/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/9699VK/bigimg/A.JPG,,,,,0.0,宜蘭縣羅東鎮四維路,10.7年,['D'],['N'],4350,4350,142.52,42.26,1,75.96,4房2廳5衛1室,B1-4,4,True,"['6', '6']","['7', '6', '3', '4', '5', '2', '12', '10', '11', '100', '102', '111']",151,False,False,https://sinyi.in/o/9699VK/0/3,2,1,,1,True,True,265,1.0,1房,5房2廳5衛1室,False,False,宜蘭縣,Yilan-county,1,https://www.sinyi.com.tw/buy/list/Yilan-county/default-desc/1
,18781B,宜蘭五結‧精緻透天別墅,24.699645,121.802059,['https://res.sinyi.com.tw/buy/18781B/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/18781B/bigimg/A.JPG,,,,,0.0,宜蘭縣五結鄉大吉二路,4.5年,['D'],['D'],1498,1498,42.87,39.9,1,42.87,3房3廳3衛,1-3,3,False,,"['7', '4', '5', '2', '19', '20', '21', '100']",642,False,False,https://sinyi.in/o/18781B/0/3,2,1,,1,True,True,268,1.0,,3房3廳3衛,False,False,宜蘭縣,Yilan-county,1,https://www.sinyi.com.tw/buy/list/Yilan-county/default-desc/1
,6037XG,誠售！湯院子裝潢美屋,24.8624561,121.818897,['https://res.sinyi.com.tw/buy/6037XG/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/6037XG/bigimg/A.JPG,,,,,0.0,宜蘭縣頭城鎮文雅路,8.8年,['L'],['L'],588,588,23.78,6.86,1,12.93,1房1廳1衛,7,15,False,,"['7', '6', '4', '5', '12', '11', '16', '19', '20', '13', '102']",38,False,False,https://sinyi.in/o/6037XG/0/3,2,1,,1,False,False,261,1.0,,1房1廳1衛,False,False,宜蘭縣,Yilan-county,1,https://www.sinyi.com.tw/buy/list/Yilan-county/default-desc/1
,1381JH,礁溪機能便利溫泉宅,24.823264,121.769206,['https://res.sinyi.com.tw/buy/1381JH/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/1381JH/bigimg/A.JPG,,,,,-13.78,宜蘭縣礁溪鄉和平路,29.1年,['M'],['M'],798,688,27.35,5.96,1,19.9,2房2廳2衛,4,6,False,,"['7', '4', '5', '2', '18', '19', '20', '102', '107']",458,False,False,https://sinyi.in/o/1381JH/0/3,2,1,,1,False,False,262,1.0,,2房2廳2衛,False,False,宜蘭縣,Yilan-county,1,https://www.sinyi.com.tw/buy/list/Yilan-county/default-desc/1
