objectId,houseNo,name,latitude,longitude,image,largeImage,managerId,imageTag,commId,commName,discount,address,age,houselandtype,houselandtypeShow,priceFirst,totalPrice,areaBuilding,areaLand,isHasBalcony,pingUsed,layout,floor,totalfloor,isParking,parking,tags,threeMonthsClicks,isOff,isSimilar,shareURL,status,kind,uniPrice,objectType,3DVR,Is3Dvr,zipCode,groupCompany,addLayout,totalLayout,isHasVideo,isHasView,city_name,city_code,page,source_url
,9354BN,金門約１８８６坪土地,24.435088,118.422407,['https://res.sinyi.com.tw/buy/9354BN/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/9354BN/bigimg/A.JPG,,,,,0,金門縣金湖鎮環島南路五段,--,['I'],['I'],40560,40560,0.0,1886.52,0,-1.0,,,,False,,"['16', '19']",64,False,False,https://sinyi.in/o/9354BN/0/3,2,1,,3,False,False,891,1.0,,,False,False,金門縣,Kinmen-county,1,https://www.sinyi.com.tw/buy/list/Kinmen-county/default-desc/1
,9825BT,金門土地讚,24.426855,118.329928,['https://res.sinyi.com.tw/buy/9825BT/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/9825BT/bigimg/A.JPG,,,,,0,金門縣金寧鄉林湖路,--,['I'],['I'],1150,1150,0.0,369.5,0,-1.0,,,,False,,[],43,False,False,https://sinyi.in/o/9825BT/0/3,2,1,,3,False,False,892,1.0,,,False,False,金門縣,Kinmen-county,1,https://www.sinyi.com.tw/buy/list/Kinmen-county/default-desc/1
,YS90208HB,溪邊大馬路旁農地,24.44047301,118.4139346,['https://img.hbhousing.com.tw/pictures/A588/A588YS90208a.jpg'],https://img.hbhousing.com.tw/pictures/A588/A588YS90208a.jpg,,,,,0,金門縣金湖鎮金湖鎮,--,['I'],['I'],0,1800,0.0,490.2,0,-1.0,,0,0,False,,[],14,False,False,https://sinyi.in/o/YS90208HB/0/3,0,2,,3,False,False,891,,,,False,False,金門縣,Kinmen-county,1,https://www.sinyi.com.tw/buy/list/Kinmen-county/default-desc/1
,YS90209HB,溪邊農地1,24.44047301,118.4139346,['https://img.hbhousing.com.tw/pictures/A588/A588YS90209a.jpg'],https://img.hbhousing.com.tw/pictures/A588/A588YS90209a.jpg,,,,,0,金門縣金湖鎮金湖鎮,--,['I'],['I'],0,520,0.0,302.51,0,-1.0,,0,0,False,,[],16,False,False,https://sinyi.in/o/YS90209HB/0/3,0,2,,3,False,False,891,,,,False,False,金門縣,Kinmen-county,1,https://www.sinyi.com.tw/buy/list/Kinmen-county/default-desc/1
,YS93048HB,安岐集村農地,24.45088311,118.33298178,['https://img.hbhousing.com.tw/pictures/A588/A588YS93048a.jpg'],https://img.hbhousing.com.tw/pictures/A588/A588YS93048a.jpg,,,,,0,金門縣金寧鄉金寧鄉,--,['I'],['I'],0,1580,0.0,432.03,0,-1.0,,0,0,False,,[],22,False,False,https://sinyi.in/o/YS93048HB/0/3,0,2,,3,False,False,892,,,,False,False,金門縣,Kinmen-county,1,https://www.sinyi.com.tw/buy/list/Kinmen-county/default-desc/1
,ZS193063HB,水頭悠靜建地,24.4156,118.311,['https://img.hbhousing.com.tw/pictures/A588/A588ZS193063a.jpg'],https://img.hbhousing.com.tw/pictures/A588/A588ZS193063a.jpg,,,,,0,金門縣金城鎮前水頭測段,--,['I'],['I'],0,606,0.0,66.25,0,-1.0,,0,0,False,,[],35,False,False,https://sinyi.in/o/ZS193063HB/0/3,0,2,,3,False,False,893,,,,False,False,金門縣,Kinmen-county,1,https://www.sinyi.com.tw/buy/list/Kinmen-county/default-desc/1
,ZS201620HB,埔後三房電梯美寓,24.446643,118.318824,['https://img.hbhousing.com.tw/pictures/A588/A588ZS201620a.jpg'],https://img.hbhousing.com.tw/pictures/A588/A588ZS201620a.jpg,,,,,0,金門縣金寧鄉寧湖一劃,1.1年,['M'],['M'],0,1250,34.65,0.0,1,29.71,3房2廳2衛,2,0,False,,[],25,False,False,https://sinyi.in/o/ZS201620HB/0/3,0,2,,1,False,False,892,,,3房2廳2衛,False,False,金門縣,Kinmen-county,1,https://www.sinyi.com.tw/buy/list/Kinmen-county/default-desc/1
,YS113513HB,新前墩建地,24.495761,118.425276,['https://img.hbhousing.com.tw/pictures/A588/A588YS113513a.jpg'],https://img.hbhousing.com.tw/pictures/A588/A588YS113513a.jpg,,,,,0,金門縣金沙鎮新前墩,--,['I'],['I'],0,1150,0.0,183.77,0,-1.0,,0,0,False,,[],16,False,False,https://sinyi.in/o/YS113513HB/0/3,0,2,,3,False,False,890,,,,False,False,金門縣,Kinmen-county,1,https://www.sinyi.com.tw/buy/list/Kinmen-county/default-desc/1
,ZS192851HB,金城山前美農地,24.4156,118.311,['https://img.hbhousing.com.tw/pictures/A588/A588ZS192851a.jpg'],https://img.hbhousing.com.tw/pictures/A588/A588ZS192851a.jpg,,,,,0,金門縣金城鎮山前,--,['I'],['I'],0,60,0.0,90.15,0,-1.0,,0,0,False,,[],53,False,False,https://sinyi.in/o/ZS192851HB/0/3,0,2,,3,False,False,893,,,,False,False,金門縣,Kinmen-county,1,https://www.sinyi.com.tw/buy/list/Kinmen-county/default-desc/1
,ZS200311HB,料羅新村全新大店面,24.4174861,118.4335194,['https://img.hbhousing.com.tw/pictures/A588/A588ZS200311a.jpg'],https://img.hbhousing.com.tw/pictures/A588/A588ZS200311a.jpg,,,,,0,金門縣金湖鎮羅劃測,0.5年,['E'],['E'],0,750,34.36,15.13,0,27.12,1衛,1,0,False,,[],7,False,False,https://sinyi.in/o/ZS200311HB/0/3,0,2,,1,False,False,891,,,1衛,False,False,金門縣,Kinmen-county,1,https://www.sinyi.com.tw/buy/list/Kinmen-county/default-desc/1
