objectId,houseNo,name,latitude,longitude,image,largeImage,managerId,imageTag,commId,commName,discount,address,age,houselandtype,houselandtypeShow,priceFirst,totalPrice,areaBuilding,areaLand,isHasBalcony,pingUsed,layout,floor,totalfloor,isParking,parking,tags,threeMonthsClicks,isOff,isSimilar,shareURL,status,kind,uniPrice,objectType,3DVR,Is3Dvr,zipCode,groupCompany,addLayout,totalLayout,isHasVideo,isHasView,city_name,city_code,page,source_url
,9603HY,屏東萬吉晶硯電梯好宅,22.686824,120.482821,['https://res.sinyi.com.tw/buy/9603HY/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/9603HY/bigimg/A.JPG,,,,,-19.3,屏東縣屏東市廣東路,4.4年,['M'],['M'],1150,928,36.29,10.57,1,22.74,2房1廳1衛,5,5,True,['9'],"['12', '10', '16', '18', '100', '102', '107', '111']",233,False,False,https://sinyi.in/o/9603HY/0/3,2,1,,1,True,True,900,1.0,,2房1廳1衛,False,False,屏東縣,Pingtung-county,1,https://www.sinyi.com.tw/buy/list/Pingtung-county/default-desc/1
,4987RF,潮州小資成家三房平車Ｂ,22.54565,120.552325,['https://res.sinyi.com.tw/buy/4987RF/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/4987RF/bigimg/A.JPG,,,,,0.0,屏東縣潮州鎮三星二巷,3.0年,['M'],['M'],899,899,34.38,10.74,1,22.35,3房2廳2衛,3,5,True,['9'],"['3', '4', '2', '15', '11', '16', '20', '100', '102', '111']",120,False,False,https://sinyi.in/o/4987RF/0/3,2,1,,1,True,True,920,1.0,,3房2廳2衛,False,False,屏東縣,Pingtung-county,1,https://www.sinyi.com.tw/buy/list/Pingtung-county/default-desc/1
,9104LG,潮州裝潢輕鬆成家二房,22.545732,120.552325,['https://res.sinyi.com.tw/buy/9104LG/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/9104LG/bigimg/A.JPG,,,,,0.0,屏東縣潮州鎮三星二巷,3.0年,['M'],['M'],696,696,22.05,8.11,1,16.72,2房2廳1衛,2,5,False,,"['3', '4', '2', '15', '11', '16', '20', '100', '102', '111']",116,False,False,https://sinyi.in/o/9104LG/0/3,2,1,,1,True,True,920,1.0,,2房2廳1衛,False,False,屏東縣,Pingtung-county,1,https://www.sinyi.com.tw/buy/list/Pingtung-county/default-desc/1
,1192FR,萬吉閱山庭院宅平車,22.684851,120.489615,['https://res.sinyi.com.tw/buy/1192FR/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/1192FR/bigimg/A.JPG,,,,,-10.64,屏東縣屏東市公正四街,2.3年,['L'],['L'],1880,1680,57.06,12.5,1,20.89,3房2廳3衛,1,13,True,['2'],"['5', '12', '10', '8', '18', '19', '100', '102', '106', '107']",173,False,False,https://sinyi.in/o/1192FR/0/3,2,1,,1,True,True,900,1.0,,3房2廳3衛,False,False,屏東縣,Pingtung-county,1,https://www.sinyi.com.tw/buy/list/Pingtung-county/default-desc/1
,3503KT,潮州輕鬆成家二房,22.545732,120.552325,['https://res.sinyi.com.tw/buy/3503KT/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/3503KT/bigimg/A.JPG,,,,,0.0,屏東縣潮州鎮三星二巷,3.0年,['M'],['M'],599,599,22.05,8.11,1,16.72,2房2廳1衛,4,5,False,,"['3', '4', '2', '15', '11', '16', '20', '100', '102', '111']",130,False,False,https://sinyi.in/o/3503KT/0/3,2,1,,1,True,True,920,1.0,,2房2廳1衛,False,False,屏東縣,Pingtung-county,1,https://www.sinyi.com.tw/buy/list/Pingtung-county/default-desc/1
,6922JY,潮州小資成家兩房三樓,22.545732,120.552325,['https://res.sinyi.com.tw/buy/6922JY/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/6922JY/bigimg/A.JPG,,,,,0.0,屏東縣潮州鎮三星二巷,3.0年,['M'],['M'],599,599,22.05,8.11,1,16.72,2房2廳1衛,3,5,False,,"['3', '4', '2', '15', '11', '16', '20', '100', '102', '111']",97,False,False,https://sinyi.in/o/6922JY/0/3,2,1,,1,True,True,920,1.0,,2房2廳1衛,False,False,屏東縣,Pingtung-county,1,https://www.sinyi.com.tw/buy/list/Pingtung-county/default-desc/1
,7497GJ,潮州小資成家三房平車,22.54565,120.552325,['https://res.sinyi.com.tw/buy/7497GJ/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/7497GJ/bigimg/A.JPG,,,,,0.0,屏東縣潮州鎮三星二巷,3.0年,['M'],['M'],899,899,34.38,10.74,1,22.35,3房2廳2衛,2,5,True,['9'],"['3', '4', '2', '10', '15', '11', '16', '20', '100', '102', '111']",75,False,False,https://sinyi.in/o/7497GJ/0/3,2,1,,1,True,True,920,1.0,,3房2廳2衛,False,False,屏東縣,Pingtung-county,1,https://www.sinyi.com.tw/buy/list/Pingtung-county/default-desc/1
,5350RL,潮州便宜採光三房平車,22.545635,120.552422,['https://res.sinyi.com.tw/buy/5350RL/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/5350RL/bigimg/A.JPG,,,,,0.0,屏東縣潮州鎮三星二巷,3.0年,['M'],['M'],899,899,34.67,10.82,1,22.57,3房2廳2衛,2,5,True,['9'],"['3', '4', '2', '15', '11', '16', '20', '100', '102', '111']",49,False,False,https://sinyi.in/o/5350RL/0/3,2,1,,1,True,True,920,1.0,,3房2廳2衛,False,False,屏東縣,Pingtung-county,1,https://www.sinyi.com.tw/buy/list/Pingtung-county/default-desc/1
,8665NV,尊爵名邸。墾丁民宿,21.951484,120.723898,['https://res.sinyi.com.tw/buy/8665NV/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/8665NV/bigimg/A.JPG,,,,,-16.82,屏東縣恆春鎮樹林路,6.7年,"['K', 'D']","['K', 'D']",11888,9888,148.63,879.2,0,148.63,9房2廳10衛,1-3,3,False,,"['7', '5', '100']",37,False,False,https://sinyi.in/o/8665NV/0/3,2,1,,1,True,True,946,1.0,,9房2廳10衛,False,False,屏東縣,Pingtung-county,1,https://www.sinyi.com.tw/buy/list/Pingtung-county/default-desc/1
,3586GZ,屏東萬丹肥沃農地１,22.61943,120.49027,['https://res.sinyi.com.tw/buy/3586GZ/smallimg/A.JPG'],https://res.sinyi.com.tw/buy/3586GZ/bigimg/A.JPG,,,,,-18.5,屏東縣萬丹鄉萬丹路三段,--,['I'],['I'],1789,1458,0.0,994.17,0,-1.0,,,,False,,"['19', '100']",4,False,False,https://sinyi.in/o/3586GZ/0/3,2,1,,3,False,False,913,1.0,,,False,False,屏東縣,Pingtung-county,1,https://www.sinyi.com.tw/buy/list/Pingtung-county/default-desc/1
